"SITECODE","SYEAR","PLOTPID","DOMDATE","DBHDATE","SEEDDATE"
"T08",2011,29,,,27-JUL-11
"T08",2011,45,,,21-JUL-11
"T08",2011,49,,,21-JUL-11
"T08",2011,54,,,29-JUN-11
"T08",2011,56,,,27-JUN-11
"T08",2011,60,,,21-JUL-11
"T08",2011,65,,,19-JUL-11
"T08",2011,67,,,21-JUL-11
"T08",2011,96,,,20-JUL-11
"T08",2011,122,,,29-JUL-11
"T08",2011,124,,,29-JUL-11
"T08",2011,134,,,13-JUL-11
"T08",2011,136,,,13-JUL-11
"T08",2011,165,,,21-JUL-11
"T08",2011,178,,,09-AUG-11
"T08",2011,181,,,24-JUN-11
"T08",2011,186,,,20-JUL-11
"T08",2011,203,,,21-JUL-11
"T08",2011,205,,,22-JUN-11
"T08",2011,206,,,24-JUN-11
"T08",2011,208,,,24-JUN-11
"T08",2011,224,,,20-JUL-11
"T08",2011,227,,,21-JUL-11
"T08",2011,249,,,15-JUL-11
"T08",2011,254,,,13-JUL-11
"T08",2011,257,,,29-JUL-11
"T08",2011,262,,,02-AUG-11
"T08",2011,263,,,13-JUL-11
"T08",2011,268,,,30-JUN-11
"T08",2011,318,,,02-AUG-11
"T08",2011,322,,,02-AUG-11
"T08",2011,328,,,05-AUG-11
"T08",2011,333,,,05-AUG-11
"T08",2011,335,,,27-JUL-11
"T08",2011,336,,,27-JUL-11
"T08",2011,344,,,02-AUG-11
"T08",2011,361,,,05-AUG-11
"T08",2011,372,,,28-JUN-11
"T08",2011,374,,,28-JUN-11
"T09",2011,1,02-JUN-11,,02-JUN-11
"T09",2011,2,02-JUN-11,,02-JUN-11
"T09",2011,16,02-JUN-11,,02-JUN-11
"T09",2011,26,19-JUL-11,,19-JUL-11
"T09",2011,28,02-JUN-11,,02-JUN-11
"T09",2011,29,02-JUN-11,,02-JUN-11
"T09",2011,52,16-JUN-11,,16-JUN-11
"T09",2011,62,02-JUN-11,,02-JUN-11
"T09",2011,66,07-JUN-11,,07-JUN-11
"T09",2011,74,21-JUN-11,,21-JUN-11
"T09",2011,88,08-JUN-11,,08-JUN-11
"T09",2011,93,09-JUN-11,,09-JUN-11
"T09",2011,99,07-JUN-11,,07-JUN-11
"T09",2011,105,21-JUN-11,,21-JUN-11
"T09",2011,106,21-JUN-11,,21-JUN-11
"T09",2011,119,01-JUN-11,,01-JUN-11
"T09",2011,132,21-JUN-11,,21-JUN-11
"T09",2011,136,16-JUN-11,,16-JUN-11
"T09",2011,139,01-JUN-11,,01-JUN-11
"T09",2011,142,01-JUN-11,,01-JUN-11
"T09",2011,149,22-JUN-11,,22-JUN-11
"T09",2011,174,08-JUN-11,,08-JUN-11
"T09",2011,194,08-JUN-11,,08-JUN-11
"T08",2012,3,,22-MAY-12,
"T08",2012,28,,22-MAY-12,
"T08",2012,29,,22-MAY-12,
"T08",2012,45,,22-MAY-12,
"T08",2012,49,,30-MAY-12,
"T08",2012,54,,30-MAY-12,
"T08",2012,56,,22-MAY-12,
"T08",2012,60,,23-MAY-12,
"T08",2012,65,,12-JUN-12,
"T08",2012,67,,12-JUN-12,
"T08",2012,96,,12-JUN-12,
"T08",2012,122,,24-JUL-12,
"T08",2012,124,,24-JUL-12,
"T08",2012,134,,24-JUL-12,
"T08",2012,136,,24-JUL-12,
"T08",2012,165,,22-MAY-12,
"T08",2012,178,,30-JUL-12,
"T08",2012,181,,23-MAY-12,
"T08",2012,186,,21-MAY-12,
"T08",2012,203,,21-MAY-12,
"T08",2012,205,,18-JUN-12,
"T08",2012,206,,23-MAY-12,
"T08",2012,208,,23-MAY-12,
"T08",2012,224,,12-JUN-12,
"T08",2012,227,,21-MAY-12,
"T08",2012,249,,24-JUL-12,
"T08",2012,254,,18-JUN-12,
"T08",2012,257,,18-JUN-12,
"T08",2012,262,,24-MAY-12,
"T08",2012,263,,18-JUN-12,
"T08",2012,268,,24-MAY-12,
"T08",2012,318,,23-JUL-12,
"T08",2012,322,,24-MAY-12,
"T08",2012,328,,24-MAY-12,
"T08",2012,333,,23-JUL-12,
"T08",2012,335,,24-MAY-12,
"T08",2012,336,,24-MAY-12,
"T08",2012,344,,07-AUG-12,
"T08",2012,361,,06-AUG-12,
"T08",2012,372,,06-AUG-12,
"T08",2012,374,,06-AUG-12,
"T08",2014,29,05-SEP-14,05-SEP-14,05-SEP-14
"T08",2014,45,04-AUG-14,04-AUG-14,04-AUG-14
"T08",2014,49,04-AUG-14,04-AUG-14,04-AUG-14
"T08",2014,54,01-AUG-14,01-AUG-14,01-AUG-14
"T08",2014,56,05-SEP-14,05-SEP-14,05-SEP-14
"T08",2014,60,01-AUG-14,01-AUG-14,01-AUG-14
"T08",2014,65,29-JUL-14,29-JUL-14,29-JUL-14
"T08",2014,67,04-AUG-14,04-AUG-14,04-AUG-14
"T08",2014,96,05-AUG-14,05-AUG-14,05-AUG-14
"T08",2014,122,02-SEP-14,02-SEP-14,02-SEP-14
"T08",2014,124,02-SEP-14,02-SEP-14,02-SEP-14
"T08",2014,134,02-SEP-14,02-SEP-14,02-SEP-14
"T08",2014,165,01-AUG-14,01-AUG-14,01-AUG-14
"T08",2014,178,12-AUG-14,12-AUG-14,12-AUG-14
"T08",2014,181,04-AUG-14,04-AUG-14,04-AUG-14
"T08",2014,186,28-JUL-14,28-JUL-14,28-JUL-14
"T08",2014,205,30-JUL-14,30-JUL-14,30-JUL-14
"T08",2014,206,05-AUG-14,05-AUG-14,05-AUG-14
"T08",2014,208,05-AUG-14,05-AUG-14,05-AUG-14
"T08",2014,224,29-JUL-14,29-JUL-14,29-JUL-14
"T08",2014,227,29-JUL-14,29-JUL-14,29-JUL-14
"T08",2014,254,18-AUG-14,18-AUG-14,18-AUG-14
"T08",2014,257,18-AUG-14,18-AUG-14,18-AUG-14
"T08",2014,262,12-AUG-14,12-AUG-14,12-AUG-14
"T08",2014,263,18-AUG-14,18-AUG-14,18-AUG-14
"T08",2014,268,12-AUG-14,12-AUG-14,12-AUG-14
"T08",2014,322,12-AUG-14,12-AUG-14,12-AUG-14
"T08",2014,328,12-AUG-14,12-AUG-14,12-AUG-14
"T08",2014,335,08-SEP-14,08-SEP-14,08-SEP-14
"T08",2014,336,12-AUG-14,12-AUG-14,12-AUG-14
"T08",2014,344,08-SEP-14,08-SEP-14,08-SEP-14
