"SITECODE","SYEAR","PLOTPID","CELLID","FIELDNAME","VALUE"
"T01",1994,462,2,"VEG_SPEC",1298
"T01",1994,462,3,"VEG_SPEC",796
"T01",1994,462,3,"VEG_SPEC",981
"T01",1994,462,3,"VEG_SPEC",1298
"T01",1994,462,4,"VEG_SPEC",796
"T01",1994,462,4,"VEG_SPEC",988
"T01",1994,462,4,"VEG_SPEC",990
"T01",1994,462,5,"VEG_SPEC",796
"T01",1994,462,5,"VEG_SPEC",981
"T01",1994,462,5,"VEG_SPEC",990
"T01",1994,462,5,"VEG_SPEC",1298
"T01",1994,462,6,"VEG_SPEC",796
"T01",1994,462,6,"VEG_SPEC",988
"T01",1994,462,6,"VEG_SPEC",990
"T01",1994,462,6,"VEG_SPEC",1298
"T01",1994,462,7,"VEG_SPEC",122
"T01",1994,462,7,"VEG_SPEC",796
"T01",1994,462,7,"VEG_SPEC",959
"T01",1994,462,7,"VEG_SPEC",990
"T01",1994,169,10,"VEG_SPEC",796
"T01",1994,169,10,"VEG_SPEC",990
"T01",1994,169,,"Q1",141
"T01",1994,393,1,"VEG_SPEC",796
"T01",1994,393,1,"VEG_SPEC",990
"T01",1994,393,2,"VEG_SPEC",796
"T01",1994,393,2,"VEG_SPEC",981
"T01",1994,393,2,"VEG_SPEC",990
"T01",1994,393,3,"VEG_SPEC",796
"T01",1994,393,3,"VEG_SPEC",981
"T01",1994,393,4,"VEG_SPEC",796
"T01",1994,393,4,"VEG_SPEC",981
"T01",1994,393,4,"VEG_SPEC",1298
"T01",1994,393,5,"VEG_SPEC",796
"T01",1994,393,5,"VEG_SPEC",981
"T01",1994,393,6,"VEG_SPEC",796
"T01",1994,393,7,"VEG_SPEC",796
"T01",1994,393,7,"VEG_SPEC",981
"T01",1994,393,7,"VEG_SPEC",990
"T01",1994,393,8,"VEG_SPEC",796
"T01",1994,393,8,"VEG_SPEC",981
"T01",1994,393,9,"VEG_SPEC",796
"T01",1994,393,9,"VEG_SPEC",981
"T01",1994,393,9,"VEG_SPEC",990
"T01",1994,393,9,"VEG_SPEC",1298
"T01",1994,393,10,"VEG_SPEC",684
"T01",1994,393,10,"VEG_SPEC",796
"T01",1994,393,10,"VEG_SPEC",981
"T01",1994,393,10,"VEG_SPEC",1298
"T01",1994,393,,"Q1",141
"T01",1994,394,1,"VEG_SPEC",796
"T01",1994,394,1,"VEG_SPEC",981
"T01",1994,394,1,"VEG_SPEC",990
"T01",1994,394,2,"VEG_SPEC",684
"T01",1994,394,2,"VEG_SPEC",796
"T01",1994,394,2,"VEG_SPEC",990
"T01",1994,394,3,"VEG_SPEC",53
"T01",1994,394,3,"VEG_SPEC",796
"T01",1994,394,3,"VEG_SPEC",981
"T01",1994,394,3,"VEG_SPEC",990
"T01",1994,394,4,"VEG_SPEC",53
"T01",1994,394,4,"VEG_SPEC",796
"T01",1994,394,4,"VEG_SPEC",981
"T01",1994,394,5,"VEG_SPEC",796
"T01",1994,603,10,"VEG_SPEC",981
"T01",1994,603,10,"VEG_SPEC",990
"T01",1994,603,10,"VEG_SPEC",1298
"T01",1994,603,,"Q1",142
"T01",1994,606,1,"VEG_SPEC",796
"T01",1994,606,2,"VEG_SPEC",22
"T01",1994,606,2,"VEG_SPEC",53
"T01",1994,606,2,"VEG_SPEC",796
"T01",1994,606,3,"VEG_SPEC",22
"T01",1994,606,3,"VEG_SPEC",53
"T01",1994,606,3,"VEG_SPEC",684
"T01",1994,606,3,"VEG_SPEC",796
"T01",1994,606,3,"VEG_SPEC",1677
"T01",1994,606,4,"VEG_SPEC",22
"T01",1994,606,4,"VEG_SPEC",290
"T01",1994,606,4,"VEG_SPEC",796
"T01",1994,606,4,"VEG_SPEC",981
"T01",1994,606,4,"VEG_SPEC",1677
"T01",1994,606,5,"VEG_SPEC",796
"T01",1994,606,5,"VEG_SPEC",990
"T01",1994,427,1,"VEG_SPEC",796
"T01",1994,427,1,"VEG_SPEC",990
"T01",1994,427,1,"VEG_SPEC",1298
"T01",1994,427,2,"VEG_SPEC",796
"T01",1994,427,2,"VEG_SPEC",981
"T01",1994,427,2,"VEG_SPEC",990
"T01",1994,427,2,"VEG_SPEC",1298
"T01",1994,427,3,"VEG_SPEC",796
"T01",1994,427,3,"VEG_SPEC",990
"T01",1994,427,3,"VEG_SPEC",1298
"T01",1994,427,4,"VEG_SPEC",796
"T01",1994,427,4,"VEG_SPEC",959
"T01",1994,427,4,"VEG_SPEC",990
"T01",1994,427,4,"VEG_SPEC",1298
"T01",1994,427,5,"VEG_SPEC",796
"T01",1994,427,5,"VEG_SPEC",990
"T01",1994,427,5,"VEG_SPEC",1298
"T01",1994,427,6,"VEG_SPEC",53
"T01",1994,427,6,"VEG_SPEC",796
"T01",1994,427,6,"VEG_SPEC",990
"T01",1994,427,7,"VEG_SPEC",796
"T01",1994,427,7,"VEG_SPEC",959
"T01",1994,427,7,"VEG_SPEC",981
"T01",1994,427,7,"VEG_SPEC",990
"T01",1994,427,7,"VEG_SPEC",1298
"T01",1994,427,8,"VEG_SPEC",684
"T01",1994,427,8,"VEG_SPEC",796
"T01",1994,427,8,"VEG_SPEC",981
"T01",1994,427,8,"VEG_SPEC",990
"T01",1994,427,8,"VEG_SPEC",1298
"T01",1994,427,9,"VEG_SPEC",684
"T01",1994,427,9,"VEG_SPEC",796
"T01",1994,427,9,"VEG_SPEC",981
"T01",1994,427,9,"VEG_SPEC",990
"T01",1994,427,9,"VEG_SPEC",1298
"T01",1994,427,10,"VEG_SPEC",796
"T01",1994,427,10,"VEG_SPEC",1298
"T01",1994,427,,"Q1",141
"T01",1994,462,1,"VEG_SPEC",684
"T01",1994,462,1,"VEG_SPEC",796
"T01",1994,462,1,"VEG_SPEC",959
"T01",1994,462,1,"VEG_SPEC",1298
"T01",1994,462,2,"VEG_SPEC",684
"T01",1994,462,2,"VEG_SPEC",796
"T01",1994,607,6,"VEG_SPEC",53
"T01",1994,607,6,"VEG_SPEC",684
"T01",1994,607,6,"VEG_SPEC",796
"T01",1994,607,6,"VEG_SPEC",981
"T01",1994,607,7,"VEG_SPEC",22
"T01",1994,607,7,"VEG_SPEC",796
"T01",1994,607,7,"VEG_SPEC",981
"T01",1994,607,7,"VEG_SPEC",1519
"T01",1994,607,8,"VEG_SPEC",22
"T01",1994,607,8,"VEG_SPEC",684
"T01",1994,607,8,"VEG_SPEC",796
"T01",1994,607,8,"VEG_SPEC",981
"T01",1994,607,8,"VEG_SPEC",990
"T01",1994,607,8,"VEG_SPEC",1677
"T01",1994,607,9,"VEG_SPEC",684
"T01",1994,607,9,"VEG_SPEC",796
"T01",1994,607,9,"VEG_SPEC",981
"T01",1994,607,10,"VEG_SPEC",684
"T01",1994,607,10,"VEG_SPEC",796
"T01",1994,607,10,"VEG_SPEC",981
"T01",1994,462,7,"VEG_SPEC",1298
"T01",1994,462,8,"VEG_SPEC",796
"T01",1994,462,8,"VEG_SPEC",990
"T01",1994,462,8,"VEG_SPEC",1298
"T01",1994,462,9,"VEG_SPEC",796
"T01",1994,462,9,"VEG_SPEC",1298
"T01",1994,462,10,"VEG_SPEC",684
"T01",1994,462,10,"VEG_SPEC",796
"T01",1994,462,,"Q1",141
"T01",1994,603,1,"VEG_SPEC",796
"T01",1994,603,1,"VEG_SPEC",981
"T01",1994,603,1,"VEG_SPEC",990
"T01",1994,603,2,"VEG_SPEC",796
"T01",1994,603,2,"VEG_SPEC",981
"T01",1994,603,2,"VEG_SPEC",990
"T01",1994,603,3,"VEG_SPEC",796
"T01",1994,603,3,"VEG_SPEC",981
"T01",1994,603,3,"VEG_SPEC",990
"T01",1994,603,3,"VEG_SPEC",1298
"T01",1994,603,4,"VEG_SPEC",796
"T01",1994,603,4,"VEG_SPEC",981
"T01",1994,603,4,"VEG_SPEC",990
"T01",1994,603,4,"VEG_SPEC",1677
"T01",1994,603,5,"VEG_SPEC",796
"T01",1994,603,5,"VEG_SPEC",981
"T01",1994,603,5,"VEG_SPEC",990
"T01",1994,603,5,"VEG_SPEC",1677
"T01",1994,603,6,"VEG_SPEC",796
"T01",1994,603,6,"VEG_SPEC",981
"T01",1994,603,6,"VEG_SPEC",990
"T01",1994,603,7,"VEG_SPEC",53
"T01",1994,603,7,"VEG_SPEC",796
"T01",1994,603,7,"VEG_SPEC",981
"T01",1994,603,7,"VEG_SPEC",990
"T01",1994,603,7,"VEG_SPEC",1298
"T01",1994,603,8,"VEG_SPEC",796
"T01",1994,603,8,"VEG_SPEC",981
"T01",1994,603,8,"VEG_SPEC",1677
"T01",1994,603,9,"VEG_SPEC",53
"T01",1994,603,9,"VEG_SPEC",796
"T01",1994,603,9,"VEG_SPEC",981
"T01",1994,603,9,"VEG_SPEC",990
"T01",1994,603,9,"VEG_SPEC",1677
"T01",1994,603,10,"VEG_SPEC",796
"T01",1994,629,10,"VEG_SPEC",981
"T01",1994,629,10,"VEG_SPEC",990
"T01",1994,629,10,"VEG_SPEC",1677
"T01",1994,629,,"Q1",142
"T01",1994,745,1,"VEG_SPEC",118
"T01",1994,745,1,"VEG_SPEC",122
"T01",1994,745,1,"VEG_SPEC",680
"T01",1994,745,1,"VEG_SPEC",796
"T01",1994,745,1,"VEG_SPEC",990
"T01",1994,745,1,"VEG_SPEC",1095
"T01",1994,745,1,"VEG_SPEC",3046
"T01",1994,745,1,"VEG_SPEC",4319
"T01",1994,745,2,"VEG_SPEC",118
"T01",1994,745,2,"VEG_SPEC",122
"T01",1994,745,2,"VEG_SPEC",465
"T01",1994,745,2,"VEG_SPEC",680
"T01",1994,745,2,"VEG_SPEC",796
"T01",1994,745,2,"VEG_SPEC",1095
"T01",1994,745,2,"VEG_SPEC",1356
"T01",1994,745,2,"VEG_SPEC",4319
"T01",1994,606,6,"VEG_SPEC",796
"T01",1994,606,6,"VEG_SPEC",990
"T01",1994,606,7,"VEG_SPEC",53
"T01",1994,606,7,"VEG_SPEC",796
"T01",1994,606,7,"VEG_SPEC",981
"T01",1994,606,7,"VEG_SPEC",990
"T01",1994,606,8,"VEG_SPEC",53
"T01",1994,606,8,"VEG_SPEC",796
"T01",1994,606,8,"VEG_SPEC",981
"T01",1994,606,8,"VEG_SPEC",1677
"T01",1994,606,9,"VEG_SPEC",122
"T01",1994,606,9,"VEG_SPEC",796
"T01",1994,606,9,"VEG_SPEC",990
"T01",1994,606,10,"VEG_SPEC",53
"T01",1994,606,10,"VEG_SPEC",796
"T01",1994,606,10,"VEG_SPEC",981
"T01",1994,606,10,"VEG_SPEC",990
"T01",1994,606,10,"VEG_SPEC",1677
"T01",1994,606,,"Q1",141
"T01",1994,607,1,"VEG_SPEC",22
"T01",1994,607,1,"VEG_SPEC",796
"T01",1994,607,1,"VEG_SPEC",981
"T01",1994,607,1,"VEG_SPEC",990
"T01",1994,607,1,"VEG_SPEC",1519
"T01",1994,607,1,"VEG_SPEC",1677
"T01",1994,607,2,"VEG_SPEC",122
"T01",1994,607,2,"VEG_SPEC",796
"T01",1994,607,2,"VEG_SPEC",981
"T01",1994,607,2,"VEG_SPEC",1677
"T01",1994,607,3,"VEG_SPEC",22
"T01",1994,607,3,"VEG_SPEC",684
"T01",1994,607,3,"VEG_SPEC",796
"T01",1994,607,3,"VEG_SPEC",981
"T01",1994,607,3,"VEG_SPEC",1519
"T01",1994,607,4,"VEG_SPEC",22
"T01",1994,607,4,"VEG_SPEC",684
"T01",1994,607,4,"VEG_SPEC",796
"T01",1994,607,4,"VEG_SPEC",981
"T01",1994,607,4,"VEG_SPEC",1677
"T01",1994,607,5,"VEG_SPEC",22
"T01",1994,607,5,"VEG_SPEC",796
"T01",1994,607,5,"VEG_SPEC",981
"T01",1994,607,5,"VEG_SPEC",2982
"T01",1994,607,6,"VEG_SPEC",22
"T01",1994,745,8,"VEG_SPEC",1143
"T01",1994,745,9,"VEG_SPEC",118
"T01",1994,745,9,"VEG_SPEC",122
"T01",1994,745,9,"VEG_SPEC",465
"T01",1994,745,9,"VEG_SPEC",661
"T01",1994,745,9,"VEG_SPEC",990
"T01",1994,745,10,"VEG_SPEC",118
"T01",1994,745,10,"VEG_SPEC",122
"T01",1994,745,10,"VEG_SPEC",384
"T01",1994,745,10,"VEG_SPEC",465
"T01",1994,745,10,"VEG_SPEC",661
"T01",1994,745,10,"VEG_SPEC",990
"T01",1994,745,10,"VEG_SPEC",3046
"T01",1994,745,10,"VEG_SPEC",4319
"T01",1994,746,1,"VEG_SPEC",118
"T01",1994,746,1,"VEG_SPEC",122
"T01",1994,746,1,"VEG_SPEC",465
"T01",1994,746,1,"VEG_SPEC",990
"T01",1994,746,2,"VEG_SPEC",118
"T01",1994,746,2,"VEG_SPEC",122
"T01",1994,607,,"Q1",141
"T01",1994,629,1,"VEG_SPEC",796
"T01",1994,629,1,"VEG_SPEC",981
"T01",1994,629,1,"VEG_SPEC",990
"T01",1994,629,2,"VEG_SPEC",796
"T01",1994,629,2,"VEG_SPEC",981
"T01",1994,629,2,"VEG_SPEC",990
"T01",1994,629,2,"VEG_SPEC",1519
"T01",1994,629,3,"VEG_SPEC",118
"T01",1994,629,3,"VEG_SPEC",796
"T01",1994,629,3,"VEG_SPEC",981
"T01",1994,629,3,"VEG_SPEC",990
"T01",1994,629,3,"VEG_SPEC",1519
"T01",1994,629,3,"VEG_SPEC",1677
"T01",1994,629,4,"VEG_SPEC",796
"T01",1994,629,4,"VEG_SPEC",981
"T01",1994,629,4,"VEG_SPEC",990
"T01",1994,629,4,"VEG_SPEC",1519
"T01",1994,629,4,"VEG_SPEC",1677
"T01",1994,629,5,"VEG_SPEC",796
"T01",1994,629,5,"VEG_SPEC",981
"T01",1994,629,5,"VEG_SPEC",990
"T01",1994,629,5,"VEG_SPEC",1519
"T01",1994,629,5,"VEG_SPEC",1677
"T01",1994,629,6,"VEG_SPEC",53
"T01",1994,629,6,"VEG_SPEC",796
"T01",1994,629,6,"VEG_SPEC",981
"T01",1994,629,6,"VEG_SPEC",1677
"T01",1994,629,6,"VEG_SPEC",2822
"T01",1994,629,7,"VEG_SPEC",118
"T01",1994,629,7,"VEG_SPEC",796
"T01",1994,629,7,"VEG_SPEC",981
"T01",1994,629,7,"VEG_SPEC",1519
"T01",1994,629,7,"VEG_SPEC",1677
"T01",1994,629,8,"VEG_SPEC",53
"T01",1994,629,8,"VEG_SPEC",796
"T01",1994,629,8,"VEG_SPEC",981
"T01",1994,629,8,"VEG_SPEC",1677
"T01",1994,629,9,"VEG_SPEC",796
"T01",1994,629,9,"VEG_SPEC",981
"T01",1994,629,9,"VEG_SPEC",990
"T01",1994,629,9,"VEG_SPEC",1519
"T01",1994,629,9,"VEG_SPEC",1677
"T01",1994,629,10,"VEG_SPEC",796
"T01",1994,746,9,"VEG_SPEC",122
"T01",1994,746,9,"VEG_SPEC",384
"T01",1994,746,9,"VEG_SPEC",465
"T01",1994,746,9,"VEG_SPEC",661
"T01",1994,746,9,"VEG_SPEC",680
"T01",1994,746,9,"VEG_SPEC",796
"T01",1994,746,9,"VEG_SPEC",960
"T01",1994,746,9,"VEG_SPEC",990
"T01",1994,746,9,"VEG_SPEC",1143
"T01",1994,746,9,"VEG_SPEC",1350
"T01",1994,746,9,"VEG_SPEC",4319
"T01",1994,746,10,"VEG_SPEC",118
"T01",1994,746,10,"VEG_SPEC",122
"T01",1994,746,10,"VEG_SPEC",465
"T01",1994,746,10,"VEG_SPEC",990
"T01",1994,746,10,"VEG_SPEC",1095
"T01",1994,746,10,"VEG_SPEC",1350
"T01",1994,746,10,"VEG_SPEC",1695
"T01",1994,746,10,"VEG_SPEC",3046
"T01",1994,746,10,"VEG_SPEC",4319
"T01",1994,745,3,"VEG_SPEC",118
"T01",1994,745,3,"VEG_SPEC",122
"T01",1994,745,3,"VEG_SPEC",465
"T01",1994,745,3,"VEG_SPEC",680
"T01",1994,745,3,"VEG_SPEC",796
"T01",1994,745,3,"VEG_SPEC",990
"T01",1994,745,3,"VEG_SPEC",1143
"T01",1994,745,3,"VEG_SPEC",4319
"T01",1994,745,4,"VEG_SPEC",118
"T01",1994,745,4,"VEG_SPEC",122
"T01",1994,745,4,"VEG_SPEC",465
"T01",1994,745,4,"VEG_SPEC",680
"T01",1994,745,4,"VEG_SPEC",960
"T01",1994,745,4,"VEG_SPEC",990
"T01",1994,745,4,"VEG_SPEC",1095
"T01",1994,745,4,"VEG_SPEC",1143
"T01",1994,745,4,"VEG_SPEC",3046
"T01",1994,745,4,"VEG_SPEC",4319
"T01",1994,745,5,"VEG_SPEC",118
"T01",1994,745,5,"VEG_SPEC",122
"T01",1994,745,5,"VEG_SPEC",465
"T01",1994,745,5,"VEG_SPEC",990
"T01",1994,745,5,"VEG_SPEC",1095
"T01",1994,745,5,"VEG_SPEC",1143
"T01",1994,745,6,"VEG_SPEC",22
"T01",1994,745,6,"VEG_SPEC",53
"T01",1994,745,6,"VEG_SPEC",118
"T01",1994,745,6,"VEG_SPEC",122
"T01",1994,745,6,"VEG_SPEC",384
"T01",1994,745,6,"VEG_SPEC",465
"T01",1994,745,6,"VEG_SPEC",796
"T01",1994,745,6,"VEG_SPEC",1050
"T01",1994,745,6,"VEG_SPEC",3046
"T01",1994,745,7,"VEG_SPEC",22
"T01",1994,745,7,"VEG_SPEC",118
"T01",1994,745,7,"VEG_SPEC",122
"T01",1994,745,7,"VEG_SPEC",465
"T01",1994,745,7,"VEG_SPEC",960
"T01",1994,745,7,"VEG_SPEC",1095
"T01",1994,745,8,"VEG_SPEC",118
"T01",1994,745,8,"VEG_SPEC",122
"T01",1994,745,8,"VEG_SPEC",415
"T01",1994,745,8,"VEG_SPEC",465
"T01",1994,745,8,"VEG_SPEC",1095
"T05",1994,9,6,"VEG_SPEC",796
"T05",1994,9,6,"VEG_SPEC",981
"T05",1994,9,6,"VEG_SPEC",990
"T05",1994,9,6,"VEG_SPEC",1350
"T05",1994,9,7,"Q1",142
"T05",1994,9,7,"VEG_SPEC",680
"T05",1994,9,7,"VEG_SPEC",796
"T05",1994,9,7,"VEG_SPEC",990
"T05",1994,9,7,"VEG_SPEC",1350
"T05",1994,9,8,"VEG_SPEC",121
"T05",1994,9,8,"VEG_SPEC",680
"T05",1994,9,8,"VEG_SPEC",796
"T05",1994,9,8,"VEG_SPEC",959
"T05",1994,9,8,"VEG_SPEC",981
"T05",1994,9,8,"VEG_SPEC",990
"T05",1994,9,9,"VEG_SPEC",123
"T05",1994,9,9,"VEG_SPEC",680
"T05",1994,9,9,"VEG_SPEC",796
"T05",1994,9,9,"VEG_SPEC",981
"T05",1994,9,9,"VEG_SPEC",990
"T05",1994,9,9,"VEG_SPEC",1350
"T05",1994,9,10,"VEG_SPEC",680
"T05",1994,9,10,"VEG_SPEC",796
"T05",1994,9,10,"VEG_SPEC",959
"T01",1994,746,2,"VEG_SPEC",576
"T01",1994,746,2,"VEG_SPEC",990
"T01",1994,746,3,"VEG_SPEC",53
"T01",1994,746,3,"VEG_SPEC",118
"T01",1994,746,3,"VEG_SPEC",122
"T01",1994,746,3,"VEG_SPEC",384
"T01",1994,746,3,"VEG_SPEC",465
"T01",1994,746,3,"VEG_SPEC",680
"T01",1994,746,3,"VEG_SPEC",990
"T01",1994,746,3,"VEG_SPEC",1143
"T01",1994,746,3,"VEG_SPEC",1350
"T01",1994,746,4,"VEG_SPEC",118
"T01",1994,746,4,"VEG_SPEC",122
"T01",1994,746,4,"VEG_SPEC",990
"T01",1994,746,5,"VEG_SPEC",118
"T01",1994,746,5,"VEG_SPEC",122
"T01",1994,746,5,"VEG_SPEC",465
"T01",1994,746,5,"VEG_SPEC",680
"T01",1994,746,5,"VEG_SPEC",796
"T01",1994,746,5,"VEG_SPEC",990
"T01",1994,746,6,"VEG_SPEC",122
"T01",1994,746,6,"VEG_SPEC",465
"T01",1994,746,6,"VEG_SPEC",661
"T01",1994,746,6,"VEG_SPEC",680
"T01",1994,746,6,"VEG_SPEC",796
"T01",1994,746,6,"VEG_SPEC",960
"T01",1994,746,6,"VEG_SPEC",990
"T01",1994,746,7,"VEG_SPEC",51
"T01",1994,746,7,"VEG_SPEC",122
"T01",1994,746,7,"VEG_SPEC",465
"T01",1994,746,7,"VEG_SPEC",680
"T01",1994,746,7,"VEG_SPEC",796
"T01",1994,746,7,"VEG_SPEC",990
"T01",1994,746,8,"VEG_SPEC",118
"T01",1994,746,8,"VEG_SPEC",122
"T01",1994,746,8,"VEG_SPEC",465
"T01",1994,746,8,"VEG_SPEC",661
"T01",1994,746,8,"VEG_SPEC",680
"T01",1994,746,8,"VEG_SPEC",796
"T01",1994,746,9,"VEG_SPEC",118
"T05",1994,26,7,"VEG_SPEC",123
"T05",1994,26,7,"VEG_SPEC",680
"T05",1994,26,7,"VEG_SPEC",796
"T05",1994,26,7,"VEG_SPEC",959
"T05",1994,26,7,"VEG_SPEC",990
"T05",1994,26,8,"VEG_SPEC",122
"T05",1994,26,8,"VEG_SPEC",680
"T05",1994,26,8,"VEG_SPEC",796
"T05",1994,26,8,"VEG_SPEC",959
"T05",1994,26,8,"VEG_SPEC",990
"T05",1994,26,9,"VEG_SPEC",122
"T05",1994,26,9,"VEG_SPEC",680
"T05",1994,26,9,"VEG_SPEC",796
"T05",1994,26,9,"VEG_SPEC",959
"T05",1994,26,9,"VEG_SPEC",990
"T05",1994,26,10,"VEG_SPEC",122
"T05",1994,26,10,"VEG_SPEC",123
"T05",1994,26,10,"VEG_SPEC",680
"T05",1994,26,10,"VEG_SPEC",796
"T05",1994,26,10,"VEG_SPEC",959
"T05",1994,26,10,"VEG_SPEC",990
"T05",1994,26,,"Q1",999
"T05",1994,45,1,"VEG_SPEC",171
"T05",1994,45,1,"VEG_SPEC",680
"T05",1994,45,1,"VEG_SPEC",796
"T05",1994,45,1,"VEG_SPEC",959
"T05",1994,45,1,"VEG_SPEC",990
"T05",1994,45,1,"VEG_SPEC",1095
"T05",1994,45,1,"VEG_SPEC",1350
"T05",1994,45,2,"VEG_SPEC",123
"T05",1994,9,1,"VEG_SPEC",680
"T05",1994,9,1,"VEG_SPEC",730
"T05",1994,9,1,"VEG_SPEC",796
"T05",1994,9,1,"VEG_SPEC",959
"T05",1994,9,1,"VEG_SPEC",981
"T05",1994,9,1,"VEG_SPEC",990
"T05",1994,9,2,"VEG_SPEC",680
"T05",1994,9,2,"VEG_SPEC",796
"T05",1994,9,2,"VEG_SPEC",959
"T05",1994,9,2,"VEG_SPEC",981
"T05",1994,9,2,"VEG_SPEC",990
"T05",1994,9,2,"VEG_SPEC",1350
"T05",1994,9,3,"VEG_SPEC",123
"T05",1994,9,3,"VEG_SPEC",680
"T05",1994,9,3,"VEG_SPEC",796
"T05",1994,9,3,"VEG_SPEC",981
"T05",1994,9,3,"VEG_SPEC",990
"T05",1994,9,3,"VEG_SPEC",1095
"T05",1994,9,4,"VEG_SPEC",680
"T05",1994,9,4,"VEG_SPEC",796
"T05",1994,9,4,"VEG_SPEC",959
"T05",1994,9,4,"VEG_SPEC",981
"T05",1994,9,4,"VEG_SPEC",990
"T05",1994,9,4,"VEG_SPEC",1350
"T05",1994,9,5,"VEG_SPEC",122
"T05",1994,9,5,"VEG_SPEC",123
"T05",1994,9,5,"VEG_SPEC",171
"T05",1994,9,5,"VEG_SPEC",680
"T05",1994,9,5,"VEG_SPEC",796
"T05",1994,9,5,"VEG_SPEC",981
"T05",1994,9,5,"VEG_SPEC",990
"T05",1994,9,5,"VEG_SPEC",1350
"T05",1994,9,6,"VEG_SPEC",121
"T05",1994,9,6,"VEG_SPEC",680
"T05",1994,45,5,"VEG_SPEC",680
"T05",1994,45,5,"VEG_SPEC",796
"T05",1994,45,5,"VEG_SPEC",959
"T05",1994,45,5,"VEG_SPEC",990
"T05",1994,45,5,"VEG_SPEC",1095
"T05",1994,45,5,"VEG_SPEC",1350
"T05",1994,45,5,"VEG_SPEC",2982
"T05",1994,45,6,"VEG_SPEC",51
