"SITECODE","SYEAR","PLOTPID","SDATE","PEDATE","LANDUSE","SLOPE","ASPECT","SLOPEFORM","NVCCLASS"
"T04",1996,13,28-JUN-96,,"16",22,250,"2",""
"T04",1996,501,28-JUN-96,,"16",,265,"1",""
"T04",1996,1,28-JUN-96,,"16/19",45,260,"1",""
"T04",1996,2,28-JUN-96,,"16",15,245,"2",""
"T07",1996,156,28-JUN-96,28-JUN-96,"16",6,100,"2","U4E"
"T04",1996,61,28-JUN-96,,"18",3,247,"2",""
"T04",1996,16,30-JUN-96,,"19",22,240,"",""
"T04",1996,71,30-JUN-96,,"16",45,268,"2",""
"T04",1996,500,30-JUN-96,,"16/18",3,45,"3",""
"T04",1996,21,30-JUN-96,,"16/19",28,45,"2",""
"T04",1996,19,30-JUN-96,,"16",,312,"2",""
"T01",1996,607,01-JUL-96,01-JUL-96,"2",1,265,"1","MG7b"
"T05",1996,329,01-JUL-96,01-JUL-96,"11",14,276,"1","W21a"
"T05",1996,323,01-JUL-96,01-JUL-96,"11",3,310,"2","W10c"
"T01",1996,606,01-JUL-96,01-JUL-96,"2",1,300,"1","MG7b"
"T05",1996,318,01-JUL-96,01-JUL-96,"11",3,310,"2","W10c"
"T09",1996,427,02-JUL-96,02-JUL-96,"12",1,186,"2","W24"
"T01",1996,135,02-JUL-96,02-JUL-96,"2",1,80,"2","MG7b"
"T07",1996,308,02-JUL-96,02-JUL-96,"16",10,282,"2","MG10A"
"T08",1996,173,03-JUL-96,03-JUL-96,"3",4,310,"2","MG1d"
"T01",1996,169,03-JUL-96,03-JUL-96,"2",1,90,"1","MG7b"
"T08",1996,327,04-JUL-96,04-JUL-96,"11",8,50,"3","W8a"
"T09",1996,450,04-JUL-96,04-JUL-96,"12",8,311,"2","W25"
"T09",1996,449,04-JUL-96,04-JUL-96,"11",1,71,"2","W21a/22"
"T04",1996,611,05-JUL-96,,"16",10,125,"2",""
"T04",1996,254,05-JUL-96,,"19/16",,,"2",""
"T07",1996,47,05-JUL-96,05-JUL-96,"16",18,117,"3","U20A"
"T09",1996,447,05-JUL-96,05-JUL-96,"11",2,82,"2","W10c/7c"
"T04",1996,247,05-JUL-96,,"18",50,225,"1",""
"T04",1996,251,05-JUL-96,,"18",,,"2",""
"T04",1996,444,06-JUL-96,,"11",27,255,"2",""
"T04",1996,450,06-JUL-96,,"16",12,135,"1",""
"T04",1996,449,06-JUL-96,,"18",,,"",""
"T10",1996,288,08-JUL-96,08-JUL-96,"",,,"",""
"T10",1996,287,08-JUL-96,08-JUL-96,"",,,"",""
"T10",1996,269,08-JUL-96,08-JUL-96,"",,,"",""
"T10",1996,256,08-JUL-96,08-JUL-96,"",,,"",""
"T04",1996,411,08-JUL-96,,"2",1,180,"2",""
"T04",1996,399,08-JUL-96,,"2",6,0,"2",""
"T04",1996,371,08-JUL-96,,"2",6,75,"2",""
"T07",1996,305,08-JUL-96,08-JUL-96,"16",13,150,"2","MG10A"
"T09",1996,409,08-JUL-96,08-JUL-96,"12",1,344,"2","W10d"
"T04",1996,801,08-JUL-96,,"2",9,356,"3",""
"T04",1996,454,08-JUL-96,,"2",2,110,"2",""
"T09",1996,446,08-JUL-96,08-JUL-96,"11",1,70,"2","W21a/22"
"T10",1996,99,09-JUL-96,,"",,,"",""
"T07",1996,102,09-JUL-96,09-JUL-96,"16",8,260,"2","M23A"
"T09",1996,448,09-JUL-96,09-JUL-96,"11",0,,"","W10c/7c"
"T10",1996,208,09-JUL-96,09-JUL-96,"",,,"",""
"T07",1996,59,09-JUL-96,09-JUL-96,"16",22,120,"3","U4B"
"T10",1996,28,09-JUL-96,09-JUL-96,"",,,"",""
"T01",1996,629,10-JUL-96,10-JUL-96,"2",2,220,"2","MG7b"
"T09",1996,440,10-JUL-96,10-JUL-96,"11",,,"","W24"
"T01",1996,603,10-JUL-96,10-JUL-96,"2",2,270,"2","MG7b"
"T02",1996,428,10-JUL-96,10-JUL-96,"2",12,285,"2","MG6"
"T10",1996,11,10-JUL-96,10-JUL-96,"",,,"",""
"T02",1996,424,10-JUL-96,10-JUL-96,"15",15,293,"1","H10/H12"
"T09",1996,445,10-JUL-96,10-JUL-96,"11",,,"","W21a/22"
"T09",1996,444,10-JUL-96,10-JUL-96,"11",1,242,"2","W24"
"T07",1996,2,10-JUL-96,10-JUL-96,"15",7,210,"2","H12A"
"T09",1996,442,11-JUL-96,11-JUL-96,"11",,,"","W24"
"T07",1996,6,11-JUL-96,11-JUL-96,"15",6,127,"2","M20A"
"T07",1996,30,11-JUL-96,11-JUL-96,"15",4,255,"2","H12A"
"T08",1996,370,11-JUL-96,11-JUL-96,"18",2,60,"2","S26a"
"T08",1996,194,11-JUL-96,11-JUL-96,"11",15,30,"1","W8e"
"T07",1996,1,11-JUL-96,11-JUL-96,"15",3,142,"2","M20A"
"T09",1996,438,11-JUL-96,11-JUL-96,"11",,,"","W24"
"T09",1996,430,12-JUL-96,12-JUL-96,"11",2,270,"2","W24"
"T09",1996,432,12-JUL-96,12-JUL-96,"12",6,135,"2","W10d"
"T09",1996,433,12-JUL-96,12-JUL-96,"12",5,180,"2","W10c/7c"
"T09",1996,435,12-JUL-96,12-JUL-96,"11",6,0,"2","W10c/7c"
"T10",1996,34,12-JUL-96,12-JUL-96,"",,,"",""
"T10",1996,50,12-JUL-96,,"",,,"",""
"T10",1996,74,12-JUL-96,,"",,,"",""
"T08",1996,61,12-JUL-96,12-JUL-96,"13",5,160,"2","W8"
"T07",1996,151,12-JUL-96,12-JUL-96,"16",11,178,"1","U5A"
"T07",1996,152,12-JUL-96,12-JUL-96,"16",12,180,"2","U5A"
"T02",1996,434,12-JUL-96,12-JUL-96,"15",13,170,"2","H12"
"T02",1996,443,12-JUL-96,12-JUL-96,"15",15,161,"2","H12"
"T04",1996,390,13-JUL-96,,"",3,48,"",""
"T04",1996,310,13-JUL-96,,"",6,83,"",""
"T04",1996,372,13-JUL-96,,"",7,360,"",""
"T09",1996,401,15-JUL-96,15-JUL-96,"11",5,315,"2","W24"
"T09",1996,436,15-JUL-96,15-JUL-96,"12",5,360,"2","W24"
"T02",1996,436,15-JUL-96,15-JUL-96,"15",16,280,"2","H12"
"T02",1996,435,15-JUL-96,15-JUL-96,"15",20,280,"2","H12"
"T09",1996,437,16-JUL-96,16-JUL-96,"12",2,225,"2","W21a/22"
"T02",1996,442,16-JUL-96,16-JUL-96,"18",7,330,"2","M19b"
"T09",1996,431,16-JUL-96,16-JUL-96,"",2,135,"2","W24"
"T09",1996,439,16-JUL-96,16-JUL-96,"12",3,90,"2","W24"
"T02",1996,384,16-JUL-96,16-JUL-96,"2",13,300,"2","U4"
"T10",1996,249,16-JUL-96,16-JUL-96,"",,,"",""
"T09",1996,426,17-JUL-96,17-JUL-96,"11",4,135,"2","W10c/7c"
"T09",1996,417,17-JUL-96,17-JUL-96,"11",4,296,"2","W21a/22"
"T10",1996,147,17-JUL-96,17-JUL-96,"",,,"",""
"T10",1996,148,17-JUL-96,17-JUL-96,"",,,"",""
"T10",1996,777,17-JUL-96,17-JUL-96,"",,,"",""
"T09",1996,416,17-JUL-96,17-JUL-96,"11",2,315,"2","W21a/22"
"T09",1996,413,18-JUL-96,18-JUL-96,"12",5,270,"2","W24"
"T09",1996,422,18-JUL-96,18-JUL-96,"12",0,,"2","W25"
"T10",1996,47,18-JUL-96,18-JUL-96,"",,,"",""
"T09",1996,420,18-JUL-96,18-JUL-96,"12",1,315,"2","W25"
"T10",1996,162,18-JUL-96,18-JUL-96,"",,,"",""
"T09",1996,419,19-JUL-96,19-JUL-96,"11",5,90,"2","W25"
"T10",1996,237,19-JUL-96,19-JUL-96,"",,,"",""
"T10",1996,219,19-JUL-96,19-JUL-96,"",,,"",""
"T09",1996,418,19-JUL-96,19-JUL-96,"12",0,,"2","W10d"
"T10",1996,265,19-JUL-96,19-JUL-96,"",,,"",""
"T04",1996,348,20-JUL-96,,"18",4,265,"1",""
"T04",1996,402,20-JUL-96,,"16",3,48,"2",""
"T04",1996,404,20-JUL-96,,"18",,,"3",""
"T04",1996,326,20-JUL-96,,"16",5,205,"2",""
"T04",1996,307,20-JUL-96,,"16",1,130,"2",""
"T04",1996,396,21-JUL-96,,"18",15,360,"2",""
"T04",1996,419,21-JUL-96,,"16",,,"",""
"T04",1996,428,21-JUL-96,,"18",2,107,"2",""
"T04",1996,429,21-JUL-96,,"18",5,90,"",""
"T10",1996,267,22-JUL-96,22-JUL-96,"",,,"",""
"T09",1996,411,22-JUL-96,22-JUL-96,"12",0,,"","W10d"
"T09",1996,410,22-JUL-96,22-JUL-96,"12",2,225,"2","W25"
"T09",1996,415,22-JUL-96,22-JUL-96,"12",0,,"","W25"
"T09",1996,429,23-JUL-96,23-JUL-96,"12",6,180,"2","W25"
"T09",1996,407,23-JUL-96,23-JUL-96,"12",8,315,"2","W10d"
"T09",1996,408,23-JUL-96,23-JUL-96,"12",0,0,"","W10d"
"T09",1996,404,23-JUL-96,23-JUL-96,"12",7,0,"2","W24"
"T09",1996,405,23-JUL-96,23-JUL-96,"12",0,,"","W10d"
"T03",1996,351,24-JUL-96,24-JUL-96,"2",1,220,"2",""
"T10",1996,227,24-JUL-96,24-JUL-96,"",,,"",""
"T10",1996,888,24-JUL-96,24-JUL-96,"",,,"",""
"T10",1996,999,24-JUL-96,24-JUL-96,"",,,"",""
"T09",1996,423,24-JUL-96,24-JUL-96,"12",5,180,"2","W16a"
"T10",1996,55,24-JUL-96,24-JUL-96,"",,,"",""
"T10",1996,56,24-JUL-96,24-JUL-96,"",,,"",""
"T09",1996,403,25-JUL-96,25-JUL-96,"12",3,315,"2","W24"
"T09",1996,402,25-JUL-96,25-JUL-96,"12",0,,"","W10d"
"T10",1996,32,25-JUL-96,25-JUL-96,"",,,"",""
"T09",1996,412,25-JUL-96,25-JUL-96,"12",0,,"","W10d"
"T09",1996,406,25-JUL-96,25-JUL-96,"12",0,,"","W10c/7c"
"T10",1996,14,25-JUL-96,25-JUL-96,"",,,"",""
"T09",1996,425,26-JUL-96,26-JUL-96,"16",0,,"","MG9"
"T09",1996,424,26-JUL-96,26-JUL-96,"12",0,,"","W10d"
"T09",1996,414,26-JUL-96,26-JUL-96,"12",3,315,"2","W10c/7c"
"T09",1996,441,30-JUL-96,30-JUL-96,"12",4,90,"2","W10d"
"T09",1996,443,31-JUL-96,31-JUL-96,"12",2,180,"2","W25"
"T09",1996,421,31-JUL-96,31-JUL-96,"12",0,,"","W10d"
"T09",1996,428,01-AUG-96,01-AUG-96,"12",0,0,"","W10d"
"T09",1996,434,01-AUG-96,01-AUG-96,"12",0,0,"","W25"
"T02",1996,437,06-AUG-96,06-AUG-96,"3",25,180,"1","U20"
"T02",1996,396,06-AUG-96,06-AUG-96,"2",16,114,"2","U4"
"T02",1996,441,07-AUG-96,07-AUG-96,"18",6,170,"2","M23"
"T02",1996,438,08-AUG-96,08-AUG-96,"3",14,302,"2","M23"
"T02",1999,440,09-AUG-96,09-AUG-96,"2",5,63,"2","U4"
"T02",1996,440,09-AUG-96,09-AUG-96,"2",5,63,"2","U4"
"T03",1996,271,18-AUG-96,18-AUG-96,"11",,,"2",""
"T03",1996,311,20-AUG-96,20-AUG-96,"11",,,"2",""
"T02",1996,439,21-AUG-96,21-AUG-96,"18",5,84,"1","M19"
"T01",1996,746,25-AUG-96,25-AUG-96,"16",1,170,"2","WE24"
"T01",1996,745,27-AUG-96,27-AUG-96,"16",1,170,"2","WE24"
"T10",1996,3,09-SEP-96,09-SEP-96,"",,,"",""
"T10",1996,666,09-SEP-96,09-SEP-96,"",,,"",""
"T10",1996,555,09-SEP-96,09-SEP-96,"",,,"",""
"T10",1996,444,09-SEP-96,09-SEP-96,"",,,"",""
"T03",1996,179,19-SEP-96,19-SEP-96,"12",,,"2",""
"T03",1996,198,19-SEP-96,19-SEP-96,"12",,,"3",""
"T03",1996,239,19-SEP-96,19-SEP-96,"12",,,"2",""
"T03",1996,74,24-SEP-96,24-SEP-96,"12",0,0,"2",""
"T03",1996,75,24-SEP-96,24-SEP-96,"12",,,"2",""
"T03",1996,57,24-SEP-96,24-SEP-96,"12",,,"2",""
"T03",1996,353,25-SEP-96,25-SEP-96,"2",1,10,"2",""
"T01",1999,606,18-JUN-99,18-JUN-99,"2",1,300,"2","MG7b"
"T02",1999,396,19-JUN-99,19-JUN-99,"2",16,114,"2","U4"
"T01",1999,607,19-JUN-99,19-JUN-99,"2",1,265,"2","MG7b"
"T01",1999,603,21-JUN-99,21-JUN-99,"2",2,220,"2","MG7b"
"T01",1999,629,21-JUN-99,21-JUN-99,"2",2,270,"1","MG7b"
"T01",1999,169,22-JUN-99,22-JUN-99,"2",1,90,"1","MG7b"
"T01",1999,135,22-JUN-99,22-JUN-99,"2",1,80,"2","MG7b"
"T01",1999,746,05-JUL-99,05-JUL-99,"16",1,170,"2","WE24"
"T01",1999,745,06-JUL-99,06-JUL-99,"16",1,140,"2","WE24"
"T01",1999,393,07-JUL-99,07-JUL-99,"2",2,180,"2","MG7b"
"T01",1999,394,07-JUL-99,07-JUL-99,"2",1,180,"2","MG7b"
"T01",1999,427,08-JUL-99,08-JUL-99,"2",2,360,"2","MG7b"
"T01",1999,462,08-JUL-99,08-JUL-99,"2",2,360,"1","MG7b"
"T08",1999,401,15-JUL-99,15-JUL-99,"2",2,10,"2","MG7a"
"T08",1999,421,16-JUL-99,16-JUL-99,"3",10,45,"2","MG5b"
"T08",1999,173,20-JUL-99,20-JUL-99,"3",4,310,"2","MG1d"
"T08",1999,194,20-JUL-99,20-JUL-99,"11",15,30,"1","W8e"
"T07",1999,152,20-JUL-99,20-JUL-99,"16",12,180,"2","U5A"
"T07",1999,2,21-JUL-99,21-JUL-99,"15",7,210,"2","H12A"
"T07",1999,151,21-JUL-99,21-JUL-99,"16",11,178,"1","U5A"
"T07",1999,1,21-JUL-99,21-JUL-99,"15",3,142,"2","M20A"
"T07",1999,451,22-JUL-99,22-JUL-99,"16",32,278,"2","U4A"
"T07",1999,30,22-JUL-99,22-JUL-99,"15",4,255,"2","H12A"
"T07",1999,6,22-JUL-99,22-JUL-99,"15",6,127,"2","M20A"
"T07",1999,47,23-JUL-99,23-JUL-99,"16",18,117,"3","U20A"
"T08",1999,32,23-JUL-99,23-JUL-99,"11",8,180,"2","W14"
"T08",1999,72,23-JUL-99,23-JUL-99,"11",4,330,"2","W14"
"T08",1999,239,26-JUL-99,26-JUL-99,"11",5,5,"2","W8a"
"T08",1999,218,26-JUL-99,26-JUL-99,"11",4,330,"2","W8a"
"T08",1999,61,27-JUL-99,27-JUL-99,"13",5,160,"2","W8"
"T08",1999,327,27-JUL-99,27-JUL-99,"11",8,50,"3","W8a"
"T08",1999,370,27-JUL-99,27-JUL-99,"18",2,60,"2","S26a"
"T07",1999,436,28-JUL-99,28-JUL-99,"16",4,0,"2","U4D"
"T07",1999,278,29-JUL-99,29-JUL-99,"16",9,324,"2","M23A"
"T07",1999,277,29-JUL-99,29-JUL-99,"16",3,284,"2","MG9A"
"T08",1999,416,29-JUL-99,29-JUL-99,"2",2,45,"2","MG7a"
"T08",1999,420,29-JUL-99,29-JUL-99,"2",2,45,"2","MG7a"
"T08",1999,168,29-JUL-99,29-JUL-99,"22",3,50,"2","W8"
"T08",1999,104,30-JUL-99,30-JUL-99,"11",5,140,"2","W8a"
"T07",1999,59,30-JUL-99,30-JUL-99,"16",22,120,"3","U4B"
"T07",1999,308,05-AUG-99,05-AUG-99,"16",10,282,"2","MG10A"
"T07",1999,272,06-AUG-99,06-AUG-99,"16",15,244,"3","MG9A"
"T07",1999,156,06-AUG-99,06-AUG-99,"16",6,100,"2","U4E"
"T07",1999,320,06-AUG-99,06-AUG-99,"16",18,122,"2","U20A"
"T07",1999,102,13-AUG-99,13-AUG-99,"16",8,260,"2","M23A"
"T11",1999,901,16-AUG-99,16-AUG-99,"16",15,,"3","CG10a"
"T07",1999,305,16-AUG-99,16-AUG-99,"16",13,150,"2","MG10A"
"T02",1999,443,16-AUG-99,16-AUG-99,"15",15,161,"2","H12"
"T02",1999,438,18-AUG-99,18-AUG-99,"3",14,302,"2","M23"
"T02",1999,424,18-AUG-99,18-AUG-99,"15",15,293,"1","H10/H12"
"T02",1999,428,18-AUG-99,18-AUG-99,"2",12,285,"2","MG6"
"T02",1999,384,19-AUG-99,19-AUG-99,"2",13,300,"2","U4"
"T02",1999,436,20-AUG-99,20-AUG-99,"15",16,280,"2","H12"
"T11",1999,913,23-AUG-99,23-AUG-99,"16",,,"1","U5a"
"T11",1999,902,23-AUG-99,23-AUG-99,"16",,,"","CG10a"
"T02",1999,441,23-AUG-99,23-AUG-99,"18",6,170,"2","M23"
"T02",1999,439,23-AUG-99,23-AUG-99,"18",5,84,"1","M19"
"T02",1999,437,24-AUG-99,24-AUG-99,"3",25,180,"1","U20"
"T02",1999,442,24-AUG-99,24-AUG-99,"18",7,330,"2","M19b"
"T11",1999,914,24-AUG-99,24-AUG-99,"16",,,"","U5a"
"T11",1999,911,27-AUG-99,27-AUG-99,"18",0,,"2","M17a"
"T11",1999,909,03-SEP-99,03-SEP-99,"15",,,"1","M15b"
"T11",1999,910,03-SEP-99,03-SEP-99,"15",2,,"2","M15b"
"T11",1999,912,03-SEP-99,03-SEP-99,"18",0,,"2","M17a"
"T03",1999,370,10-SEP-99,10-SEP-99,"2",1,220,"2","M97a"
"T03",1999,353,10-SEP-99,10-SEP-99,"2",1,10,"2","M97a"
"T03",1999,281,10-SEP-99,10-SEP-99,"3",1,170,"1","M97e"
"T03",1999,333,10-SEP-99,10-SEP-99,"3",0,0,"2","M97e"
"T03",1999,351,10-SEP-99,10-SEP-99,"2",1,220,"2","M97a"
"T11",1999,903,13-SEP-99,13-SEP-99,"15",5,,"2","H15"
"T11",1999,904,13-SEP-99,13-SEP-99,"15",25,,"2","H15"
"T11",1999,907,21-SEP-99,21-SEP-99,"15",15,220,"3","H21a"
"T11",1999,908,21-SEP-99,21-SEP-99,"15",15,95,"3","H21a"
"T11",1999,905,23-SEP-99,23-SEP-99,"15",40,35,"2","H18a"
"T11",1999,906,23-SEP-99,23-SEP-99,"15",40,2,"2","H18a"
"T02",1999,435,28-SEP-99,28-SEP-99,"15",20,280,"2","H12"
"T02",1999,434,28-SEP-99,28-SEP-99,"15",13,170,"2","H12"
"T03",1999,31,24-OCT-99,24-OCT-99,"11",0,0,"2","W10e"
"T03",1999,57,24-OCT-99,24-OCT-99,"12",0,0,"2","W11a"
"T03",1999,74,24-OCT-99,24-OCT-99,"12",0,0,"2","M97a"
"T03",1999,237,24-OCT-99,24-OCT-99,"12",0,0,"2","M97a"
"T03",1999,179,24-OCT-99,24-OCT-99,"12",0,0,"2","W24a"
"T03",1999,198,24-OCT-99,24-OCT-99,"12",0,0,"2","W24a"
"T03",1999,203,24-OCT-99,24-OCT-99,"12",0,0,"2",""
"T03",1999,75,24-OCT-99,24-OCT-99,"12",0,0,"2","W11a"
"T03",1999,311,26-OCT-99,26-OCT-99,"11/12",0,0,"2","W10e"
"T03",1999,331,26-OCT-99,26-OCT-99,"11/12",0,0,"2","W10e"
"T03",1999,52,26-OCT-99,26-OCT-99,"11/12",0,0,"2","W10e"
"T03",1999,204,26-OCT-99,26-OCT-99,"12",0,0,"2","OV24"
"T03",1999,239,26-OCT-99,26-OCT-99,"12",0,0,"2","OV24"
"T03",1999,243,26-OCT-99,26-OCT-99,"11",0,0,"2","W11a"
"T03",1999,271,26-OCT-99,26-OCT-99,"12",0,0,"2",""
"T03",1999,274,26-OCT-99,26-OCT-99,"13",0,0,"2","OV24"
"T03",1999,277,26-OCT-99,26-OCT-99,"12",0,0,"2","W11a"
"T03",1999,294,26-OCT-99,26-OCT-99,"13",0,0,"2","OV24"
"T11",2000,915,07-JUL-00,07-JUL-00,"18",5,95,"1","M6"
"T11",2000,916,07-JUL-00,07-JUL-00,"18",5,116,"2","M6"
"T11",2000,917,04-AUG-00,04-AUG-00,"16",35,18,"2","U4e"
"T11",2000,918,04-AUG-00,04-AUG-00,"16",25,,"3","U4e"
"T04",2002,164,11-JUN-02,,"18",,,"",""
"T04",2002,184,11-JUN-02,,"18",,,"",""
"T04",2002,78,12-JUN-02,,"18",,,"",""
"T04",2002,138,12-JUN-02,,"18",,,"",""
"T04",2002,505,12-JUN-02,,"18",,,"",""
"T04",2002,21,13-JUN-02,,"16",,,"",""
"T04",2002,1,13-JUN-02,,"16",,,"",""
"T04",2002,2,13-JUN-02,,"16",,,"",""
"T04",2002,13,13-JUN-02,,"16",,,"",""
"T04",2002,19,13-JUN-02,,"16",,,"",""
"T04",2002,16,17-JUN-02,,"19",,,"",""
"T04",2002,501,17-JUN-02,,"16",,,"",""
"T04",2002,500,17-JUN-02,,"16",,,"",""
"T08",2002,194,17-JUN-02,17-JUN-02,"11",15,30,"1","W8e"
"T08",2002,32,17-JUN-02,17-JUN-02,"11",8,180,"2","W14"
